merchant_id,merchant_name,primary_cuisine,city_zone,brand_score,service_score
1,merchant_0001,sichuan,zone_01,0.62,0.63
2,merchant_0002,cantonese,zone_02,0.79,0.76
3,merchant_0003,hotpot,zone_03,0.51,0.89
4,merchant_0004,barbecue,zone_04,0.68,0.62
5,merchant_0005,milk_tea,zone_05,0.85,0.75
6,merchant_0006,dessert,zone_06,0.57,0.88
7,merchant_0007,burger,zone_07,0.74,0.61
8,merchant_0008,noodles,zone_08,0.46,0.74
9,merchant_0009,salad,zone_09,0.63,0.87
10,merchant_0010,sichuan,zone_10,0.8,0.6
11,merchant_0011,cantonese,zone_11,0.52,0.73
12,merchant_0012,hotpot,zone_12,0.69,0.86
13,merchant_0013,barbecue,zone_13,0.86,0.59
14,merchant_0014,milk_tea,zone_14,0.58,0.72
15,merchant_0015,dessert,zone_15,0.75,0.85
16,merchant_0016,burger,zone_16,0.47,0.58
17,merchant_0017,noodles,zone_17,0.64,0.71
18,merchant_0018,salad,zone_18,0.81,0.84
19,merchant_0019,sichuan,zone_19,0.53,0.57
20,merchant_0020,cantonese,zone_20,0.7,0.7
21,merchant_0021,hotpot,zone_01,0.87,0.83
22,merchant_0022,barbecue,zone_02,0.59,0.56
23,merchant_0023,milk_tea,zone_03,0.76,0.69
24,merchant_0024,dessert,zone_04,0.48,0.82
25,merchant_0025,burger,zone_05,0.65,0.55
26,merchant_0026,noodles,zone_06,0.82,0.68
27,merchant_0027,salad,zone_07,0.54,0.81
28,merchant_0028,sichuan,zone_08,0.71,0.54
29,merchant_0029,cantonese,zone_09,0.88,0.67
30,merchant_0030,hotpot,zone_10,0.6,0.8
31,merchant_0031,barbecue,zone_11,0.77,0.53
32,merchant_0032,milk_tea,zone_12,0.49,0.66
33,merchant_0033,dessert,zone_13,0.66,0.79
34,merchant_0034,burger,zone_14,0.83,0.52
35,merchant_0035,noodles,zone_15,0.55,0.65
36,merchant_0036,salad,zone_16,0.72,0.78
37,merchant_0037,sichuan,zone_17,0.89,0.51
38,merchant_0038,cantonese,zone_18,0.61,0.64
39,merchant_0039,hotpot,zone_19,0.78,0.77
40,merchant_0040,barbecue,zone_20,0.5,0.5
41,merchant_0041,milk_tea,zone_01,0.67,0.63
42,merchant_0042,dessert,zone_02,0.84,0.76
43,merchant_0043,burger,zone_03,0.56,0.89
44,merchant_0044,noodles,zone_04,0.73,0.62
45,merchant_0045,salad,zone_05,0.45,0.75
46,merchant_0046,sichuan,zone_06,0.62,0.88
47,merchant_0047,cantonese,zone_07,0.79,0.61
48,merchant_0048,hotpot,zone_08,0.51,0.74
49,merchant_0049,barbecue,zone_09,0.68,0.87
50,merchant_0050,milk_tea,zone_10,0.85,0.6
51,merchant_0051,dessert,zone_11,0.57,0.73
52,merchant_0052,burger,zone_12,0.74,0.86
53,merchant_0053,noodles,zone_13,0.46,0.59
54,merchant_0054,salad,zone_14,0.63,0.72
55,merchant_0055,sichuan,zone_15,0.8,0.85
56,merchant_0056,cantonese,zone_16,0.52,0.58
57,merchant_0057,hotpot,zone_17,0.69,0.71
58,merchant_0058,barbecue,zone_18,0.86,0.84
59,merchant_0059,milk_tea,zone_19,0.58,0.57
60,merchant_0060,dessert,zone_20,0.75,0.7
61,merchant_0061,burger,zone_01,0.47,0.83
62,merchant_0062,noodles,zone_02,0.64,0.56
63,merchant_0063,salad,zone_03,0.81,0.69
64,merchant_0064,sichuan,zone_04,0.53,0.82
65,merchant_0065,cantonese,zone_05,0.7,0.55
66,merchant_0066,hotpot,zone_06,0.87,0.68
67,merchant_0067,barbecue,zone_07,0.59,0.81
68,merchant_0068,milk_tea,zone_08,0.76,0.54
69,merchant_0069,dessert,zone_09,0.48,0.67
70,merchant_0070,burger,zone_10,0.65,0.8
71,merchant_0071,noodles,zone_11,0.82,0.53
72,merchant_0072,salad,zone_12,0.54,0.66
73,merchant_0073,sichuan,zone_13,0.71,0.79
74,merchant_0074,cantonese,zone_14,0.88,0.52
75,merchant_0075,hotpot,zone_15,0.6,0.65
76,merchant_0076,barbecue,zone_16,0.77,0.78
77,merchant_0077,milk_tea,zone_17,0.49,0.51
78,merchant_0078,dessert,zone_18,0.66,0.64
79,merchant_0079,burger,zone_19,0.83,0.77
80,merchant_0080,noodles,zone_20,0.55,0.5
81,merchant_0081,salad,zone_01,0.72,0.63
82,merchant_0082,sichuan,zone_02,0.89,0.76
83,merchant_0083,cantonese,zone_03,0.61,0.89
84,merchant_0084,hotpot,zone_04,0.78,0.62
85,merchant_0085,barbecue,zone_05,0.5,0.75
86,merchant_0086,milk_tea,zone_06,0.67,0.88
87,merchant_0087,dessert,zone_07,0.84,0.61
88,merchant_0088,burger,zone_08,0.56,0.74
89,merchant_0089,noodles,zone_09,0.73,0.87
90,merchant_0090,salad,zone_10,0.45,0.6
91,merchant_0091,sichuan,zone_11,0.62,0.73
92,merchant_0092,cantonese,zone_12,0.79,0.86
93,merchant_0093,hotpot,zone_13,0.51,0.59
94,merchant_0094,barbecue,zone_14,0.68,0.72
95,merchant_0095,milk_tea,zone_15,0.85,0.85
96,merchant_0096,dessert,zone_16,0.57,0.58
97,merchant_0097,burger,zone_17,0.74,0.71
98,merchant_0098,noodles,zone_18,0.46,0.84
99,merchant_0099,salad,zone_19,0.63,0.57
100,merchant_0100,sichuan,zone_20,0.8,0.7
101,merchant_0101,cantonese,zone_01,0.52,0.83
102,merchant_0102,hotpot,zone_02,0.69,0.56
103,merchant_0103,barbecue,zone_03,0.86,0.69
104,merchant_0104,milk_tea,zone_04,0.58,0.82
105,merchant_0105,dessert,zone_05,0.75,0.55
106,merchant_0106,burger,zone_06,0.47,0.68
107,merchant_0107,noodles,zone_07,0.64,0.81
108,merchant_0108,salad,zone_08,0.81,0.54
109,merchant_0109,sichuan,zone_09,0.53,0.67
110,merchant_0110,cantonese,zone_10,0.7,0.8
111,merchant_0111,hotpot,zone_11,0.87,0.53
112,merchant_0112,barbecue,zone_12,0.59,0.66
113,merchant_0113,milk_tea,zone_13,0.76,0.79
114,merchant_0114,dessert,zone_14,0.48,0.52
115,merchant_0115,burger,zone_15,0.65,0.65
116,merchant_0116,noodles,zone_16,0.82,0.78
117,merchant_0117,salad,zone_17,0.54,0.51
118,merchant_0118,sichuan,zone_18,0.71,0.64
119,merchant_0119,cantonese,zone_19,0.88,0.77
120,merchant_0120,hotpot,zone_20,0.6,0.5
121,merchant_0121,barbecue,zone_01,0.77,0.63
122,merchant_0122,milk_tea,zone_02,0.49,0.76
123,merchant_0123,dessert,zone_03,0.66,0.89
124,merchant_0124,burger,zone_04,0.83,0.62
125,merchant_0125,noodles,zone_05,0.55,0.75
126,merchant_0126,salad,zone_06,0.72,0.88
127,merchant_0127,sichuan,zone_07,0.89,0.61
128,merchant_0128,cantonese,zone_08,0.61,0.74
129,merchant_0129,hotpot,zone_09,0.78,0.87
130,merchant_0130,barbecue,zone_10,0.5,0.6
131,merchant_0131,milk_tea,zone_11,0.67,0.73
132,merchant_0132,dessert,zone_12,0.84,0.86
133,merchant_0133,burger,zone_13,0.56,0.59
134,merchant_0134,noodles,zone_14,0.73,0.72
135,merchant_0135,salad,zone_15,0.45,0.85
136,merchant_0136,sichuan,zone_16,0.62,0.58
137,merchant_0137,cantonese,zone_17,0.79,0.71
138,merchant_0138,hotpot,zone_18,0.51,0.84
139,merchant_0139,barbecue,zone_19,0.68,0.57
140,merchant_0140,milk_tea,zone_20,0.85,0.7
141,merchant_0141,dessert,zone_01,0.57,0.83
142,merchant_0142,burger,zone_02,0.74,0.56
143,merchant_0143,noodles,zone_03,0.46,0.69
144,merchant_0144,salad,zone_04,0.63,0.82
145,merchant_0145,sichuan,zone_05,0.8,0.55
146,merchant_0146,cantonese,zone_06,0.52,0.68
147,merchant_0147,hotpot,zone_07,0.69,0.81
148,merchant_0148,barbecue,zone_08,0.86,0.54
149,merchant_0149,milk_tea,zone_09,0.58,0.67
150,merchant_0150,dessert,zone_10,0.75,0.8
151,merchant_0151,burger,zone_11,0.47,0.53
152,merchant_0152,noodles,zone_12,0.64,0.66
153,merchant_0153,salad,zone_13,0.81,0.79
154,merchant_0154,sichuan,zone_14,0.53,0.52
155,merchant_0155,cantonese,zone_15,0.7,0.65
156,merchant_0156,hotpot,zone_16,0.87,0.78
157,merchant_0157,barbecue,zone_17,0.59,0.51
158,merchant_0158,milk_tea,zone_18,0.76,0.64
159,merchant_0159,dessert,zone_19,0.48,0.77
160,merchant_0160,burger,zone_20,0.65,0.5
161,merchant_0161,noodles,zone_01,0.82,0.63
162,merchant_0162,salad,zone_02,0.54,0.76
163,merchant_0163,sichuan,zone_03,0.71,0.89
164,merchant_0164,cantonese,zone_04,0.88,0.62
165,merchant_0165,hotpot,zone_05,0.6,0.75
166,merchant_0166,barbecue,zone_06,0.77,0.88
167,merchant_0167,milk_tea,zone_07,0.49,0.61
168,merchant_0168,dessert,zone_08,0.66,0.74
169,merchant_0169,burger,zone_09,0.83,0.87
170,merchant_0170,noodles,zone_10,0.55,0.6
171,merchant_0171,salad,zone_11,0.72,0.73
172,merchant_0172,sichuan,zone_12,0.89,0.86
173,merchant_0173,cantonese,zone_13,0.61,0.59
174,merchant_0174,hotpot,zone_14,0.78,0.72
175,merchant_0175,barbecue,zone_15,0.5,0.85
176,merchant_0176,milk_tea,zone_16,0.67,0.58
177,merchant_0177,dessert,zone_17,0.84,0.71
178,merchant_0178,burger,zone_18,0.56,0.84
179,merchant_0179,noodles,zone_19,0.73,0.57
180,merchant_0180,salad,zone_20,0.45,0.7
181,merchant_0181,sichuan,zone_01,0.62,0.83
182,merchant_0182,cantonese,zone_02,0.79,0.56
183,merchant_0183,hotpot,zone_03,0.51,0.69
184,merchant_0184,barbecue,zone_04,0.68,0.82
185,merchant_0185,milk_tea,zone_05,0.85,0.55
186,merchant_0186,dessert,zone_06,0.57,0.68
187,merchant_0187,burger,zone_07,0.74,0.81
188,merchant_0188,noodles,zone_08,0.46,0.54
189,merchant_0189,salad,zone_09,0.63,0.67
190,merchant_0190,sichuan,zone_10,0.8,0.8
191,merchant_0191,cantonese,zone_11,0.52,0.53
192,merchant_0192,hotpot,zone_12,0.69,0.66
193,merchant_0193,barbecue,zone_13,0.86,0.79
194,merchant_0194,milk_tea,zone_14,0.58,0.52
195,merchant_0195,dessert,zone_15,0.75,0.65
196,merchant_0196,burger,zone_16,0.47,0.78
197,merchant_0197,noodles,zone_17,0.64,0.51
198,merchant_0198,salad,zone_18,0.81,0.64
199,merchant_0199,sichuan,zone_19,0.53,0.77
200,merchant_0200,cantonese,zone_20,0.7,0.5
201,merchant_0201,hotpot,zone_01,0.87,0.63
202,merchant_0202,barbecue,zone_02,0.59,0.76
203,merchant_0203,milk_tea,zone_03,0.76,0.89
204,merchant_0204,dessert,zone_04,0.48,0.62
205,merchant_0205,burger,zone_05,0.65,0.75
206,merchant_0206,noodles,zone_06,0.82,0.88
207,merchant_0207,salad,zone_07,0.54,0.61
208,merchant_0208,sichuan,zone_08,0.71,0.74
209,merchant_0209,cantonese,zone_09,0.88,0.87
210,merchant_0210,hotpot,zone_10,0.6,0.6
211,merchant_0211,barbecue,zone_11,0.77,0.73
212,merchant_0212,milk_tea,zone_12,0.49,0.86
213,merchant_0213,dessert,zone_13,0.66,0.59
214,merchant_0214,burger,zone_14,0.83,0.72
215,merchant_0215,noodles,zone_15,0.55,0.85
216,merchant_0216,salad,zone_16,0.72,0.58
217,merchant_0217,sichuan,zone_17,0.89,0.71
218,merchant_0218,cantonese,zone_18,0.61,0.84
219,merchant_0219,hotpot,zone_19,0.78,0.57
220,merchant_0220,barbecue,zone_20,0.5,0.7
221,merchant_0221,milk_tea,zone_01,0.67,0.83
222,merchant_0222,dessert,zone_02,0.84,0.56
223,merchant_0223,burger,zone_03,0.56,0.69
224,merchant_0224,noodles,zone_04,0.73,0.82
225,merchant_0225,salad,zone_05,0.45,0.55
226,merchant_0226,sichuan,zone_06,0.62,0.68
227,merchant_0227,cantonese,zone_07,0.79,0.81
228,merchant_0228,hotpot,zone_08,0.51,0.54
229,merchant_0229,barbecue,zone_09,0.68,0.67
230,merchant_0230,milk_tea,zone_10,0.85,0.8
231,merchant_0231,dessert,zone_11,0.57,0.53
232,merchant_0232,burger,zone_12,0.74,0.66
233,merchant_0233,noodles,zone_13,0.46,0.79
234,merchant_0234,salad,zone_14,0.63,0.52
235,merchant_0235,sichuan,zone_15,0.8,0.65
236,merchant_0236,cantonese,zone_16,0.52,0.78
237,merchant_0237,hotpot,zone_17,0.69,0.51
238,merchant_0238,barbecue,zone_18,0.86,0.64
239,merchant_0239,milk_tea,zone_19,0.58,0.77
240,merchant_0240,dessert,zone_20,0.75,0.5
241,merchant_0241,burger,zone_01,0.47,0.63
242,merchant_0242,noodles,zone_02,0.64,0.76
243,merchant_0243,salad,zone_03,0.81,0.89
244,merchant_0244,sichuan,zone_04,0.53,0.62
245,merchant_0245,cantonese,zone_05,0.7,0.75
246,merchant_0246,hotpot,zone_06,0.87,0.88
247,merchant_0247,barbecue,zone_07,0.59,0.61
248,merchant_0248,milk_tea,zone_08,0.76,0.74
249,merchant_0249,dessert,zone_09,0.48,0.87
250,merchant_0250,burger,zone_10,0.65,0.6
251,merchant_0251,noodles,zone_11,0.82,0.73
252,merchant_0252,salad,zone_12,0.54,0.86
253,merchant_0253,sichuan,zone_13,0.71,0.59
254,merchant_0254,cantonese,zone_14,0.88,0.72
255,merchant_0255,hotpot,zone_15,0.6,0.85
256,merchant_0256,barbecue,zone_16,0.77,0.58
257,merchant_0257,milk_tea,zone_17,0.49,0.71
258,merchant_0258,dessert,zone_18,0.66,0.84
259,merchant_0259,burger,zone_19,0.83,0.57
260,merchant_0260,noodles,zone_20,0.55,0.7
261,merchant_0261,salad,zone_01,0.72,0.83
262,merchant_0262,sichuan,zone_02,0.89,0.56
263,merchant_0263,cantonese,zone_03,0.61,0.69
264,merchant_0264,hotpot,zone_04,0.78,0.82
265,merchant_0265,barbecue,zone_05,0.5,0.55
266,merchant_0266,milk_tea,zone_06,0.67,0.68
267,merchant_0267,dessert,zone_07,0.84,0.81
268,merchant_0268,burger,zone_08,0.56,0.54
269,merchant_0269,noodles,zone_09,0.73,0.67
270,merchant_0270,salad,zone_10,0.45,0.8
271,merchant_0271,sichuan,zone_11,0.62,0.53
272,merchant_0272,cantonese,zone_12,0.79,0.66
273,merchant_0273,hotpot,zone_13,0.51,0.79
274,merchant_0274,barbecue,zone_14,0.68,0.52
275,merchant_0275,milk_tea,zone_15,0.85,0.65
276,merchant_0276,dessert,zone_16,0.57,0.78
277,merchant_0277,burger,zone_17,0.74,0.51
278,merchant_0278,noodles,zone_18,0.46,0.64
279,merchant_0279,salad,zone_19,0.63,0.77
280,merchant_0280,sichuan,zone_20,0.8,0.5
281,merchant_0281,cantonese,zone_01,0.52,0.63
282,merchant_0282,hotpot,zone_02,0.69,0.76
283,merchant_0283,barbecue,zone_03,0.86,0.89
284,merchant_0284,milk_tea,zone_04,0.58,0.62
285,merchant_0285,dessert,zone_05,0.75,0.75
286,merchant_0286,burger,zone_06,0.47,0.88
287,merchant_0287,noodles,zone_07,0.64,0.61
288,merchant_0288,salad,zone_08,0.81,0.74
289,merchant_0289,sichuan,zone_09,0.53,0.87
290,merchant_0290,cantonese,zone_10,0.7,0.6
291,merchant_0291,hotpot,zone_11,0.87,0.73
292,merchant_0292,barbecue,zone_12,0.59,0.86
293,merchant_0293,milk_tea,zone_13,0.76,0.59
294,merchant_0294,dessert,zone_14,0.48,0.72
295,merchant_0295,burger,zone_15,0.65,0.85
296,merchant_0296,noodles,zone_16,0.82,0.58
297,merchant_0297,salad,zone_17,0.54,0.71
298,merchant_0298,sichuan,zone_18,0.71,0.84
299,merchant_0299,cantonese,zone_19,0.88,0.57
300,merchant_0300,hotpot,zone_20,0.6,0.7
301,merchant_0301,barbecue,zone_01,0.77,0.83
302,merchant_0302,milk_tea,zone_02,0.49,0.56
303,merchant_0303,dessert,zone_03,0.66,0.69
304,merchant_0304,burger,zone_04,0.83,0.82
305,merchant_0305,noodles,zone_05,0.55,0.55
306,merchant_0306,salad,zone_06,0.72,0.68
307,merchant_0307,sichuan,zone_07,0.89,0.81
308,merchant_0308,cantonese,zone_08,0.61,0.54
309,merchant_0309,hotpot,zone_09,0.78,0.67
310,merchant_0310,barbecue,zone_10,0.5,0.8
311,merchant_0311,milk_tea,zone_11,0.67,0.53
312,merchant_0312,dessert,zone_12,0.84,0.66
313,merchant_0313,burger,zone_13,0.56,0.79
314,merchant_0314,noodles,zone_14,0.73,0.52
315,merchant_0315,salad,zone_15,0.45,0.65
316,merchant_0316,sichuan,zone_16,0.62,0.78
317,merchant_0317,cantonese,zone_17,0.79,0.51
318,merchant_0318,hotpot,zone_18,0.51,0.64
319,merchant_0319,barbecue,zone_19,0.68,0.77
320,merchant_0320,milk_tea,zone_20,0.85,0.5
321,merchant_0321,dessert,zone_01,0.57,0.63
322,merchant_0322,burger,zone_02,0.74,0.76
323,merchant_0323,noodles,zone_03,0.46,0.89
324,merchant_0324,salad,zone_04,0.63,0.62
325,merchant_0325,sichuan,zone_05,0.8,0.75
326,merchant_0326,cantonese,zone_06,0.52,0.88
327,merchant_0327,hotpot,zone_07,0.69,0.61
328,merchant_0328,barbecue,zone_08,0.86,0.74
329,merchant_0329,milk_tea,zone_09,0.58,0.87
330,merchant_0330,dessert,zone_10,0.75,0.6
331,merchant_0331,burger,zone_11,0.47,0.73
332,merchant_0332,noodles,zone_12,0.64,0.86
333,merchant_0333,salad,zone_13,0.81,0.59
334,merchant_0334,sichuan,zone_14,0.53,0.72
335,merchant_0335,cantonese,zone_15,0.7,0.85
336,merchant_0336,hotpot,zone_16,0.87,0.58
337,merchant_0337,barbecue,zone_17,0.59,0.71
338,merchant_0338,milk_tea,zone_18,0.76,0.84
339,merchant_0339,dessert,zone_19,0.48,0.57
340,merchant_0340,burger,zone_20,0.65,0.7
341,merchant_0341,noodles,zone_01,0.82,0.83
342,merchant_0342,salad,zone_02,0.54,0.56
343,merchant_0343,sichuan,zone_03,0.71,0.69
344,merchant_0344,cantonese,zone_04,0.88,0.82
345,merchant_0345,hotpot,zone_05,0.6,0.55
346,merchant_0346,barbecue,zone_06,0.77,0.68
347,merchant_0347,milk_tea,zone_07,0.49,0.81
348,merchant_0348,dessert,zone_08,0.66,0.54
349,merchant_0349,burger,zone_09,0.83,0.67
350,merchant_0350,noodles,zone_10,0.55,0.8
351,merchant_0351,salad,zone_11,0.72,0.53
352,merchant_0352,sichuan,zone_12,0.89,0.66
353,merchant_0353,cantonese,zone_13,0.61,0.79
354,merchant_0354,hotpot,zone_14,0.78,0.52
355,merchant_0355,barbecue,zone_15,0.5,0.65
356,merchant_0356,milk_tea,zone_16,0.67,0.78
357,merchant_0357,dessert,zone_17,0.84,0.51
358,merchant_0358,burger,zone_18,0.56,0.64
359,merchant_0359,noodles,zone_19,0.73,0.77
360,merchant_0360,salad,zone_20,0.45,0.5
361,merchant_0361,sichuan,zone_01,0.62,0.63
362,merchant_0362,cantonese,zone_02,0.79,0.76
363,merchant_0363,hotpot,zone_03,0.51,0.89
364,merchant_0364,barbecue,zone_04,0.68,0.62
365,merchant_0365,milk_tea,zone_05,0.85,0.75
366,merchant_0366,dessert,zone_06,0.57,0.88
367,merchant_0367,burger,zone_07,0.74,0.61
368,merchant_0368,noodles,zone_08,0.46,0.74
369,merchant_0369,salad,zone_09,0.63,0.87
370,merchant_0370,sichuan,zone_10,0.8,0.6
371,merchant_0371,cantonese,zone_11,0.52,0.73
372,merchant_0372,hotpot,zone_12,0.69,0.86
373,merchant_0373,barbecue,zone_13,0.86,0.59
374,merchant_0374,milk_tea,zone_14,0.58,0.72
375,merchant_0375,dessert,zone_15,0.75,0.85
376,merchant_0376,burger,zone_16,0.47,0.58
377,merchant_0377,noodles,zone_17,0.64,0.71
378,merchant_0378,salad,zone_18,0.81,0.84
379,merchant_0379,sichuan,zone_19,0.53,0.57
380,merchant_0380,cantonese,zone_20,0.7,0.7
381,merchant_0381,hotpot,zone_01,0.87,0.83
382,merchant_0382,barbecue,zone_02,0.59,0.56
383,merchant_0383,milk_tea,zone_03,0.76,0.69
384,merchant_0384,dessert,zone_04,0.48,0.82
385,merchant_0385,burger,zone_05,0.65,0.55
386,merchant_0386,noodles,zone_06,0.82,0.68
387,merchant_0387,salad,zone_07,0.54,0.81
388,merchant_0388,sichuan,zone_08,0.71,0.54
389,merchant_0389,cantonese,zone_09,0.88,0.67
390,merchant_0390,hotpot,zone_10,0.6,0.8
391,merchant_0391,barbecue,zone_11,0.77,0.53
392,merchant_0392,milk_tea,zone_12,0.49,0.66
393,merchant_0393,dessert,zone_13,0.66,0.79
394,merchant_0394,burger,zone_14,0.83,0.52
395,merchant_0395,noodles,zone_15,0.55,0.65
396,merchant_0396,salad,zone_16,0.72,0.78
397,merchant_0397,sichuan,zone_17,0.89,0.51
398,merchant_0398,cantonese,zone_18,0.61,0.64
399,merchant_0399,hotpot,zone_19,0.78,0.77
400,merchant_0400,barbecue,zone_20,0.5,0.5
401,merchant_0401,milk_tea,zone_01,0.67,0.63
402,merchant_0402,dessert,zone_02,0.84,0.76
403,merchant_0403,burger,zone_03,0.56,0.89
404,merchant_0404,noodles,zone_04,0.73,0.62
405,merchant_0405,salad,zone_05,0.45,0.75
406,merchant_0406,sichuan,zone_06,0.62,0.88
407,merchant_0407,cantonese,zone_07,0.79,0.61
408,merchant_0408,hotpot,zone_08,0.51,0.74
409,merchant_0409,barbecue,zone_09,0.68,0.87
410,merchant_0410,milk_tea,zone_10,0.85,0.6
411,merchant_0411,dessert,zone_11,0.57,0.73
412,merchant_0412,burger,zone_12,0.74,0.86
413,merchant_0413,noodles,zone_13,0.46,0.59
414,merchant_0414,salad,zone_14,0.63,0.72
415,merchant_0415,sichuan,zone_15,0.8,0.85
416,merchant_0416,cantonese,zone_16,0.52,0.58
417,merchant_0417,hotpot,zone_17,0.69,0.71
418,merchant_0418,barbecue,zone_18,0.86,0.84
419,merchant_0419,milk_tea,zone_19,0.58,0.57
420,merchant_0420,dessert,zone_20,0.75,0.7
421,merchant_0421,burger,zone_01,0.47,0.83
422,merchant_0422,noodles,zone_02,0.64,0.56
423,merchant_0423,salad,zone_03,0.81,0.69
424,merchant_0424,sichuan,zone_04,0.53,0.82
425,merchant_0425,cantonese,zone_05,0.7,0.55
426,merchant_0426,hotpot,zone_06,0.87,0.68
427,merchant_0427,barbecue,zone_07,0.59,0.81
428,merchant_0428,milk_tea,zone_08,0.76,0.54
429,merchant_0429,dessert,zone_09,0.48,0.67
430,merchant_0430,burger,zone_10,0.65,0.8
431,merchant_0431,noodles,zone_11,0.82,0.53
432,merchant_0432,salad,zone_12,0.54,0.66
433,merchant_0433,sichuan,zone_13,0.71,0.79
434,merchant_0434,cantonese,zone_14,0.88,0.52
435,merchant_0435,hotpot,zone_15,0.6,0.65
436,merchant_0436,barbecue,zone_16,0.77,0.78
437,merchant_0437,milk_tea,zone_17,0.49,0.51
438,merchant_0438,dessert,zone_18,0.66,0.64
439,merchant_0439,burger,zone_19,0.83,0.77
440,merchant_0440,noodles,zone_20,0.55,0.5
441,merchant_0441,salad,zone_01,0.72,0.63
442,merchant_0442,sichuan,zone_02,0.89,0.76
443,merchant_0443,cantonese,zone_03,0.61,0.89
444,merchant_0444,hotpot,zone_04,0.78,0.62
445,merchant_0445,barbecue,zone_05,0.5,0.75
446,merchant_0446,milk_tea,zone_06,0.67,0.88
447,merchant_0447,dessert,zone_07,0.84,0.61
448,merchant_0448,burger,zone_08,0.56,0.74
449,merchant_0449,noodles,zone_09,0.73,0.87
450,merchant_0450,salad,zone_10,0.45,0.6
451,merchant_0451,sichuan,zone_11,0.62,0.73
452,merchant_0452,cantonese,zone_12,0.79,0.86
453,merchant_0453,hotpot,zone_13,0.51,0.59
454,merchant_0454,barbecue,zone_14,0.68,0.72
455,merchant_0455,milk_tea,zone_15,0.85,0.85
456,merchant_0456,dessert,zone_16,0.57,0.58
457,merchant_0457,burger,zone_17,0.74,0.71
458,merchant_0458,noodles,zone_18,0.46,0.84
459,merchant_0459,salad,zone_19,0.63,0.57
460,merchant_0460,sichuan,zone_20,0.8,0.7
461,merchant_0461,cantonese,zone_01,0.52,0.83
462,merchant_0462,hotpot,zone_02,0.69,0.56
463,merchant_0463,barbecue,zone_03,0.86,0.69
464,merchant_0464,milk_tea,zone_04,0.58,0.82
465,merchant_0465,dessert,zone_05,0.75,0.55
466,merchant_0466,burger,zone_06,0.47,0.68
467,merchant_0467,noodles,zone_07,0.64,0.81
468,merchant_0468,salad,zone_08,0.81,0.54
469,merchant_0469,sichuan,zone_09,0.53,0.67
470,merchant_0470,cantonese,zone_10,0.7,0.8
471,merchant_0471,hotpot,zone_11,0.87,0.53
472,merchant_0472,barbecue,zone_12,0.59,0.66
473,merchant_0473,milk_tea,zone_13,0.76,0.79
474,merchant_0474,dessert,zone_14,0.48,0.52
475,merchant_0475,burger,zone_15,0.65,0.65
476,merchant_0476,noodles,zone_16,0.82,0.78
477,merchant_0477,salad,zone_17,0.54,0.51
478,merchant_0478,sichuan,zone_18,0.71,0.64
479,merchant_0479,cantonese,zone_19,0.88,0.77
480,merchant_0480,hotpot,zone_20,0.6,0.5
481,merchant_0481,barbecue,zone_01,0.77,0.63
482,merchant_0482,milk_tea,zone_02,0.49,0.76
483,merchant_0483,dessert,zone_03,0.66,0.89
484,merchant_0484,burger,zone_04,0.83,0.62
485,merchant_0485,noodles,zone_05,0.55,0.75
486,merchant_0486,salad,zone_06,0.72,0.88
487,merchant_0487,sichuan,zone_07,0.89,0.61
488,merchant_0488,cantonese,zone_08,0.61,0.74
489,merchant_0489,hotpot,zone_09,0.78,0.87
490,merchant_0490,barbecue,zone_10,0.5,0.6
491,merchant_0491,milk_tea,zone_11,0.67,0.73
492,merchant_0492,dessert,zone_12,0.84,0.86
493,merchant_0493,burger,zone_13,0.56,0.59
494,merchant_0494,noodles,zone_14,0.73,0.72
495,merchant_0495,salad,zone_15,0.45,0.85
496,merchant_0496,sichuan,zone_16,0.62,0.58
497,merchant_0497,cantonese,zone_17,0.79,0.71
498,merchant_0498,hotpot,zone_18,0.51,0.84
499,merchant_0499,barbecue,zone_19,0.68,0.57
500,merchant_0500,milk_tea,zone_20,0.85,0.7
501,merchant_0501,dessert,zone_01,0.57,0.83
502,merchant_0502,burger,zone_02,0.74,0.56
503,merchant_0503,noodles,zone_03,0.46,0.69
504,merchant_0504,salad,zone_04,0.63,0.82
505,merchant_0505,sichuan,zone_05,0.8,0.55
506,merchant_0506,cantonese,zone_06,0.52,0.68
507,merchant_0507,hotpot,zone_07,0.69,0.81
508,merchant_0508,barbecue,zone_08,0.86,0.54
509,merchant_0509,milk_tea,zone_09,0.58,0.67
510,merchant_0510,dessert,zone_10,0.75,0.8
511,merchant_0511,burger,zone_11,0.47,0.53
512,merchant_0512,noodles,zone_12,0.64,0.66
513,merchant_0513,salad,zone_13,0.81,0.79
514,merchant_0514,sichuan,zone_14,0.53,0.52
515,merchant_0515,cantonese,zone_15,0.7,0.65
516,merchant_0516,hotpot,zone_16,0.87,0.78
517,merchant_0517,barbecue,zone_17,0.59,0.51
518,merchant_0518,milk_tea,zone_18,0.76,0.64
519,merchant_0519,dessert,zone_19,0.48,0.77
520,merchant_0520,burger,zone_20,0.65,0.5
